text,label
"the update is fast, reliable, and a joy to use.",positive
"Such a bad experience, the food was completely useless.",negative
"the product is buggy, slow, and frustrating to use.",negative
"this album made my day, truly fantastic experience.",positive
"What a great the laptop, totally worth the money.",positive
this movie is terrible and broke after one day.,negative
"my order stopped working after a week, very frustrating.",negative
"I hate the update, it was a complete waste of money.",negative
I'm reading reviews about the course before deciding.,neutral
"I'm so happy with the restaurant, best decision ever.",positive
I'm reading reviews about the laptop before deciding.,neutral
Total disaster.,negative
"Thank you so much, the product is exactly what I needed.",positive
"I used this app for a week, it's been fairly normal.",neutral
"Worst experience ever, the product did not work at all.",negative
the course arrived broken and nobody responded to my emails.,negative
"I hate the delivery, it was a complete waste of money.",negative
Here is some information about the hotel room for reference.,neutral
"the product is fast, reliable, and a joy to use.",positive
"I'm so happy with this app, best decision ever.",positive
"the product made my day, truly fantastic experience.",positive
the restaurant is terrible and broke after one day.,negative
"I used this game for a week, it's been fairly normal.",neutral
"this movie is awful, customer service ignored my complaints.",negative
"the new phone made my day, truly fantastic experience.",positive
"the course works as described, no issues so far.",neutral
"the delivery is okay, nothing special but does the job.",neutral
"I'm extremely unhappy with this album, it ruined my day.",negative
"this book is awful, customer service ignored my complaints.",negative
"What a great the flight, totally worth the money.",positive
"the customer support is buggy, slow, and frustrating to use.",negative
"Such a bad experience, the show was completely useless.",negative
"I'm thrilled with the new phone, it works like a charm.",positive
this movie arrived broken and nobody responded to my emails.,negative
"my order arrived on time, packaging was standard.",neutral
Not sure how I feel about the course yet.,neutral
"the new phone is just an ordinary product, nothing stands out.",neutral
Not sure how I feel about the product yet.,neutral
the hotel room arrived broken and nobody responded to my emails.,negative
"Best experience ever with the laptop, super satisfied!",positive
I'm reading reviews about this game before deciding.,neutral
"What a great my order, totally worth the money.",positive
"the delivery is buggy, slow, and frustrating to use.",negative
"this app was a pleasant surprise, loved every bit of it.",positive
"the course is awful, customer service ignored my complaints.",negative
"Thank you so much, the update is exactly what I needed.",positive
"this album was disgusting and overpriced, never again.",negative
"I absolutely love this game, it exceeded all my expectations!",positive
"the delivery has both good and bad points, hard to say.",neutral
"the customer support is okay, nothing special but does the job.",neutral
"the service is buggy, slow, and frustrating to use.",negative
the product comes in different colors and sizes.,neutral
"What a great the food, totally worth the money.",positive
"the course was disgusting and overpriced, never again.",negative
"the flight is excellent, five stars without a doubt.",positive
"this app has both good and bad points, hard to say.",neutral
"the flight is just an ordinary product, nothing stands out.",neutral
"the hotel room is awful, customer service ignored my complaints.",negative
"the laptop is average, could be better could be worse.",neutral
Here is some information about this software for reference.,neutral
the food costs about the same as similar alternatives.,neutral
"What a great this software, totally worth the money.",positive
"the show has both good and bad points, hard to say.",neutral
"the customer support is amazing, highly recommend it to everyone.",positive
"this book has both good and bad points, hard to say.",neutral
"this movie is so good, I'm telling all my friends about it.",positive
"Thank you so much, this album is exactly what I needed.",positive
I want a refund.,negative
"the delivery arrived on time, packaging was standard.",neutral
"Really impressed with the food, will buy again.",positive
"the food is so good, I'm telling all my friends about it.",positive
the delivery comes in different colors and sizes.,neutral
"Do not buy the new phone, it's a scam and poorly made.",negative
"Worst experience ever, this album did not work at all.",negative
"the delivery made my day, truly fantastic experience.",positive
"Worst experience ever, this book did not work at all.",negative
"Really impressed with the course, will buy again.",positive
"Best experience ever with the food, super satisfied!",positive
"the delivery was a pleasant surprise, loved every bit of it.",positive
"this book arrived on time, packaging was standard.",neutral
"the product is amazing, highly recommend it to everyone.",positive
"Wow, the course works perfectly and looks great too.",positive
"the customer support is awful, customer service ignored my complaints.",negative
"Best experience ever with this app, super satisfied!",positive
"Such a bad experience, my order was completely useless.",negative
"Best experience ever with the customer support, super satisfied!",positive
"this software was disgusting and overpriced, never again.",negative
"What a great the product, totally worth the money.",positive
this app was delivered yesterday according to the tracking.,neutral
"What a great this game, totally worth the money.",positive
"I'm thrilled with this app, it works like a charm.",positive
"I used the laptop for a week, it's been fairly normal.",neutral
"I can't stop smiling, the new phone is just wonderful.",positive
"I'm thrilled with the hotel room, it works like a charm.",positive
"the laptop made my day, truly fantastic experience.",positive
"the food is fine, similar to what I expected.",neutral
"this game is okay, nothing special but does the job.",neutral
"the restaurant arrived on time, packaging was standard.",neutral
"Really impressed with the flight, will buy again.",positive
the hotel room was delivered yesterday according to the tracking.,neutral
"Absolutely furious about the laptop, this is unacceptable.",negative
"Absolutely furious about this game, this is unacceptable.",negative
"I used the update for a week, it's been fairly normal.",neutral
Not sure how I feel about this software yet.,neutral
"the customer support stopped working after a week, very frustrating.",negative
"this movie is fine, similar to what I expected.",neutral
this book costs about the same as similar alternatives.,neutral
I'm reading reviews about the flight before deciding.,neutral
"I can't stop smiling, my order is just wonderful.",positive
"the show is excellent, five stars without a doubt.",positive
the product costs about the same as similar alternatives.,neutral
my order was delivered yesterday according to the tracking.,neutral
the customer support is terrible and broke after one day.,negative
"this app made my day, truly fantastic experience.",positive
"the hotel room is so good, I'm telling all my friends about it.",positive
"the customer support has both good and bad points, hard to say.",neutral
"the product is just an ordinary product, nothing stands out.",neutral
"I received the course today, will update my review later.",neutral
"What a great this app, totally worth the money.",positive
"the show works as described, no issues so far.",neutral
this software arrived broken and nobody responded to my emails.,negative
"Do not buy the course, it's a scam and poorly made.",negative
"I can't stop smiling, the flight is just wonderful.",positive
"the service is average, could be better could be worse.",neutral
the service comes in different colors and sizes.,neutral
"the update made my day, truly fantastic experience.",positive
"I'm so happy with the hotel room, best decision ever.",positive
I'm reading reviews about the customer support before deciding.,neutral
Such a letdown.,negative
"the hotel room works as described, no issues so far.",neutral
"Absolutely furious about my order, this is unacceptable.",negative
"the new phone is fine, similar to what I expected.",neutral
"the course is fast, reliable, and a joy to use.",positive
"this app was disgusting and overpriced, never again.",negative
Here is some information about this game for reference.,neutral
"this album was a pleasant surprise, loved every bit of it.",positive
my order arrived broken and nobody responded to my emails.,negative
this movie is the worst thing I've ever used.,negative
"the hotel room is just an ordinary product, nothing stands out.",neutral
"the course has both good and bad points, hard to say.",neutral
"my order is buggy, slow, and frustrating to use.",negative
the restaurant costs about the same as similar alternatives.,neutral
Seems average to me.,neutral
"Best experience ever with the new phone, super satisfied!",positive
Here is some information about the new phone for reference.,neutral
this software comes in different colors and sizes.,neutral
"the flight is amazing, highly recommend it to everyone.",positive
"the flight was disgusting and overpriced, never again.",negative
"this movie was a pleasant surprise, loved every bit of it.",positive
"Such a bad experience, the restaurant was completely useless.",negative
"I'm extremely unhappy with the flight, it ruined my day.",negative
Not sure how I feel about the service yet.,neutral
"I'm thrilled with the customer support, it works like a charm.",positive
"What a great the update, totally worth the money.",positive
Here is some information about the course for reference.,neutral
"this software has both good and bad points, hard to say.",neutral
"Absolutely furious about this book, this is unacceptable.",negative
"the food arrived on time, packaging was standard.",neutral
"the course arrived on time, packaging was standard.",neutral
"I used the product for a week, it's been fairly normal.",neutral
this book comes in different colors and sizes.,neutral
"this software is okay, nothing special but does the job.",neutral
"the service works as described, no issues so far.",neutral
the product is the worst thing I've ever used.,negative
"Do not buy the customer support, it's a scam and poorly made.",negative
"the restaurant was disgusting and overpriced, never again.",negative
"the service is so good, I'm telling all my friends about it.",positive
"the service stopped working after a week, very frustrating.",negative
"the laptop was a pleasant surprise, loved every bit of it.",positive
"the service is okay, nothing special but does the job.",neutral
"Wow, this movie works perfectly and looks great too.",positive
"this app is average, could be better could be worse.",neutral
Here is some information about the restaurant for reference.,neutral
"the hotel room was a pleasant surprise, loved every bit of it.",positive
"the new phone has both good and bad points, hard to say.",neutral
"Thank you so much, this app is exactly what I needed.",positive
the product was delivered yesterday according to the tracking.,neutral
this movie costs about the same as similar alternatives.,neutral
"the restaurant is okay, nothing special but does the job.",neutral
"this software is so good, I'm telling all my friends about it.",positive
"the delivery is just an ordinary product, nothing stands out.",neutral
"I'm thrilled with the laptop, it works like a charm.",positive
"the new phone is amazing, highly recommend it to everyone.",positive
"I'm extremely unhappy with the course, it ruined my day.",negative
"this app is buggy, slow, and frustrating to use.",negative
"Such a bad experience, the hotel room was completely useless.",negative
"Really impressed with this game, will buy again.",positive
"the course is okay, nothing special but does the job.",neutral
"Such a bad experience, the laptop was completely useless.",negative
"Thank you so much, the course is exactly what I needed.",positive
Here is some information about the flight for reference.,neutral
"Such a bad experience, this app was completely useless.",negative
"I used my order for a week, it's been fairly normal.",neutral
"Thank you so much, this book is exactly what I needed.",positive
"the food was disgusting and overpriced, never again.",negative
"this app is awful, customer service ignored my complaints.",negative
"the show made my day, truly fantastic experience.",positive
"I absolutely love the hotel room, it exceeded all my expectations!",positive
Pure perfection.,positive
"the course is fine, similar to what I expected.",neutral
"the restaurant is so good, I'm telling all my friends about it.",positive
"I'm extremely unhappy with the update, it ruined my day.",negative
"the delivery works as described, no issues so far.",neutral
"I received the show today, will update my review later.",neutral
"I absolutely love the delivery, it exceeded all my expectations!",positive
the show comes in different colors and sizes.,neutral
this app is terrible and broke after one day.,negative
the hotel room costs about the same as similar alternatives.,neutral
"Do not buy the food, it's a scam and poorly made.",negative
"What a great the course, totally worth the money.",positive
I'm reading reviews about this software before deciding.,neutral
"I received this game today, will update my review later.",neutral
"Thank you so much, the flight is exactly what I needed.",positive
Not sure how I feel about the new phone yet.,neutral
"I'm so disappointed with this app, never buying again.",negative
"Do not buy the laptop, it's a scam and poorly made.",negative
"I'm so disappointed with this movie, never buying again.",negative
"Absolutely furious about the hotel room, this is unacceptable.",negative
"Wow, the show works perfectly and looks great too.",positive
"I'm thrilled with the update, it works like a charm.",positive
"this album stopped working after a week, very frustrating.",negative
"the hotel room stopped working after a week, very frustrating.",negative
"Such a bad experience, the customer support was completely useless.",negative
"the delivery is amazing, highly recommend it to everyone.",positive
"Do not buy the restaurant, it's a scam and poorly made.",negative
"the restaurant works as described, no issues so far.",neutral
"I'm extremely unhappy with the hotel room, it ruined my day.",negative
"I'm thrilled with the course, it works like a charm.",positive
"Such a bad experience, the course was completely useless.",negative
"Really impressed with the laptop, will buy again.",positive
"Really impressed with the update, will buy again.",positive
"What a great this book, totally worth the money.",positive
the new phone costs about the same as similar alternatives.,neutral
I'm reading reviews about the update before deciding.,neutral
the laptop costs about the same as similar alternatives.,neutral
"I'm thrilled with this software, it works like a charm.",positive
"I regret purchasing the product, total waste of time.",negative
Here is some information about the service for reference.,neutral
"the service is excellent, five stars without a doubt.",positive
"this book stopped working after a week, very frustrating.",negative
"Worst experience ever, the food did not work at all.",negative
"the customer support was a pleasant surprise, loved every bit of it.",positive
"the new phone is average, could be better could be worse.",neutral
Here is some information about this book for reference.,neutral
I'm reading reviews about this album before deciding.,neutral
"this app stopped working after a week, very frustrating.",negative
the laptop comes in different colors and sizes.,neutral
"I regret purchasing the course, total waste of time.",negative
this app costs about the same as similar alternatives.,neutral
"the restaurant was a pleasant surprise, loved every bit of it.",positive
"my order was a pleasant surprise, loved every bit of it.",positive
the customer support costs about the same as similar alternatives.,neutral
"the customer support is just an ordinary product, nothing stands out.",neutral
"this software is amazing, highly recommend it to everyone.",positive
"this book was disgusting and overpriced, never again.",negative
"this game is so good, I'm telling all my friends about it.",positive
the delivery arrived broken and nobody responded to my emails.,negative
"Really impressed with the restaurant, will buy again.",positive
"I'm thrilled with the product, it works like a charm.",positive
"I regret purchasing the update, total waste of time.",negative
"the flight is fine, similar to what I expected.",neutral
"I can't stop smiling, this software is just wonderful.",positive
the customer support is the worst thing I've ever used.,negative
"the new phone works as described, no issues so far.",neutral
"the hotel room is fast, reliable, and a joy to use.",positive
"I'm thrilled with my order, it works like a charm.",positive
the customer support arrived broken and nobody responded to my emails.,negative
"the laptop works as described, no issues so far.",neutral
"the product works as described, no issues so far.",neutral
"the flight is awful, customer service ignored my complaints.",negative
"I regret purchasing the restaurant, total waste of time.",negative
"Absolutely furious about the food, this is unacceptable.",negative
"Really impressed with the service, will buy again.",positive
"I regret purchasing the hotel room, total waste of time.",negative
"the flight made my day, truly fantastic experience.",positive
this album is the worst thing I've ever used.,negative
"Do not buy the service, it's a scam and poorly made.",negative
"this game is just an ordinary product, nothing stands out.",neutral
"the flight is fast, reliable, and a joy to use.",positive
"my order made my day, truly fantastic experience.",positive
I'm reading reviews about this app before deciding.,neutral
this software was delivered yesterday according to the tracking.,neutral
"the customer support is fast, reliable, and a joy to use.",positive
"the restaurant is excellent, five stars without a doubt.",positive
the service is the worst thing I've ever used.,negative
"I used the show for a week, it's been fairly normal.",neutral
Not sure how I feel about the customer support yet.,neutral
Here is some information about the update for reference.,neutral
"I hate the food, it was a complete waste of money.",negative
"Thank you so much, my order is exactly what I needed.",positive
I'm reading reviews about the hotel room before deciding.,neutral
the laptop was delivered yesterday according to the tracking.,neutral
"the course is buggy, slow, and frustrating to use.",negative
"this app is amazing, highly recommend it to everyone.",positive
"this game arrived on time, packaging was standard.",neutral
this game is terrible and broke after one day.,negative
the laptop is terrible and broke after one day.,negative
the show is terrible and broke after one day.,negative
"the hotel room was disgusting and overpriced, never again.",negative
"Absolutely furious about the restaurant, this is unacceptable.",negative
"the food is okay, nothing special but does the job.",neutral
Here is some information about the laptop for reference.,neutral
"the restaurant is buggy, slow, and frustrating to use.",negative
"Worst experience ever, the laptop did not work at all.",negative
"the service is amazing, highly recommend it to everyone.",positive
"Best experience ever with the product, super satisfied!",positive
"I received the food today, will update my review later.",neutral
"this game is amazing, highly recommend it to everyone.",positive
"I absolutely love the service, it exceeded all my expectations!",positive
"Thank you so much, the customer support is exactly what I needed.",positive
"the customer support made my day, truly fantastic experience.",positive
"the show arrived on time, packaging was standard.",neutral
"I used the customer support for a week, it's been fairly normal.",neutral
"I received the service today, will update my review later.",neutral
Not sure how I feel about this movie yet.,neutral
the laptop is the worst thing I've ever used.,negative
"Wow, the hotel room works perfectly and looks great too.",positive
"the delivery is fine, similar to what I expected.",neutral
the customer support comes in different colors and sizes.,neutral
"Best experience ever with the delivery, super satisfied!",positive
this book is terrible and broke after one day.,negative
"This is fantastic, thank you!",positive
"the food is amazing, highly recommend it to everyone.",positive
"I'm extremely unhappy with the delivery, it ruined my day.",negative
"I received this software today, will update my review later.",neutral
"Wow, this album works perfectly and looks great too.",positive
Not sure how I feel about the hotel room yet.,neutral
"Worst experience ever, the service did not work at all.",negative
"I'm so happy with the food, best decision ever.",positive
this game costs about the same as similar alternatives.,neutral
"Such a bad experience, the product was completely useless.",negative
"the customer support works as described, no issues so far.",neutral
"Wow, the customer support works perfectly and looks great too.",positive
"this game was disgusting and overpriced, never again.",negative
"Thank you so much, this game is exactly what I needed.",positive
"I can't stop smiling, the food is just wonderful.",positive
"I regret purchasing this app, total waste of time.",negative
"the update is amazing, highly recommend it to everyone.",positive
"I'm so happy with the update, best decision ever.",positive
"I'm so disappointed with this album, never buying again.",negative
"I'm thrilled with the show, it works like a charm.",positive
"Best experience ever with this book, super satisfied!",positive
"I'm extremely unhappy with this book, it ruined my day.",negative
"the food was a pleasant surprise, loved every bit of it.",positive
"I regret purchasing the customer support, total waste of time.",negative
"I'm so disappointed with the product, never buying again.",negative
"this book was a pleasant surprise, loved every bit of it.",positive
"I received this movie today, will update my review later.",neutral
"the update is excellent, five stars without a doubt.",positive
"the hotel room has both good and bad points, hard to say.",neutral
"I'm so disappointed with the delivery, never buying again.",negative
"this game is fine, similar to what I expected.",neutral
"the product has both good and bad points, hard to say.",neutral
"the flight has both good and bad points, hard to say.",neutral
"Worst experience ever, the show did not work at all.",negative
"the customer support arrived on time, packaging was standard.",neutral
"Wow, this game works perfectly and looks great too.",positive
"Wow, my order works perfectly and looks great too.",positive
the new phone was delivered yesterday according to the tracking.,neutral
the service was delivered yesterday according to the tracking.,neutral
"Do not buy the hotel room, it's a scam and poorly made.",negative
"Worst experience ever, my order did not work at all.",negative
"I absolutely love this movie, it exceeded all my expectations!",positive
"this book is fast, reliable, and a joy to use.",positive
"I hate the restaurant, it was a complete waste of money.",negative
"I'm thrilled with this album, it works like a charm.",positive
"this movie is excellent, five stars without a doubt.",positive
"my order is fine, similar to what I expected.",neutral
the update costs about the same as similar alternatives.,neutral
this album comes in different colors and sizes.,neutral
the delivery costs about the same as similar alternatives.,neutral
"I'm extremely unhappy with the food, it ruined my day.",negative
"the hotel room is average, could be better could be worse.",neutral
"the food works as described, no issues so far.",neutral
"I'm so disappointed with this book, never buying again.",negative
"Really impressed with this book, will buy again.",positive
"this album is awful, customer service ignored my complaints.",negative
"the service is awful, customer service ignored my complaints.",negative
"I'm extremely unhappy with the service, it ruined my day.",negative
"Really impressed with this album, will buy again.",positive
"Wow, this app works perfectly and looks great too.",positive
the service is terrible and broke after one day.,negative
"this book is average, could be better could be worse.",neutral
"Really impressed with the product, will buy again.",positive
"this book is just an ordinary product, nothing stands out.",neutral
"the update was a pleasant surprise, loved every bit of it.",positive
"Really impressed with my order, will buy again.",positive
this book arrived broken and nobody responded to my emails.,negative
"I'm so disappointed with the laptop, never buying again.",negative
"I can't stop smiling, the course is just wonderful.",positive
"the show is just an ordinary product, nothing stands out.",neutral
the hotel room comes in different colors and sizes.,neutral
"the course is amazing, highly recommend it to everyone.",positive
"Absolutely furious about the show, this is unacceptable.",negative
the delivery is the worst thing I've ever used.,negative
"my order is average, could be better could be worse.",neutral
"Thank you so much, the show is exactly what I needed.",positive
"this movie is okay, nothing special but does the job.",neutral
"Best experience ever with the service, super satisfied!",positive
"I regret purchasing the flight, total waste of time.",negative
"the product was a pleasant surprise, loved every bit of it.",positive
"this movie is buggy, slow, and frustrating to use.",negative
"I'm thrilled with the restaurant, it works like a charm.",positive
"I'm so disappointed with this game, never buying again.",negative
"I used this book for a week, it's been fairly normal.",neutral
I'm reading reviews about the service before deciding.,neutral
"Absolutely furious about the flight, this is unacceptable.",negative
"this album is okay, nothing special but does the job.",neutral
"the new phone is awful, customer service ignored my complaints.",negative
this software is the worst thing I've ever used.,negative
"the food is buggy, slow, and frustrating to use.",negative
the new phone comes in different colors and sizes.,neutral
"the flight works as described, no issues so far.",neutral
Here is some information about the delivery for reference.,neutral
"this album is fine, similar to what I expected.",neutral
"this movie has both good and bad points, hard to say.",neutral
Here is some information about the product for reference.,neutral
"I'm so disappointed with the flight, never buying again.",negative
"the service arrived on time, packaging was standard.",neutral
"Really impressed with the customer support, will buy again.",positive
"I hate the new phone, it was a complete waste of money.",negative
"Worst experience ever, the course did not work at all.",negative
"I absolutely love the course, it exceeded all my expectations!",positive
"Thank you so much, the food is exactly what I needed.",positive
"I used this movie for a week, it's been fairly normal.",neutral
"the delivery stopped working after a week, very frustrating.",negative
"the restaurant made my day, truly fantastic experience.",positive
"my order is awful, customer service ignored my complaints.",negative
"I absolutely love my order, it exceeded all my expectations!",positive
"the delivery is awful, customer service ignored my complaints.",negative
"this game has both good and bad points, hard to say.",neutral
Not sure how I feel about the restaurant yet.,neutral
"this movie is fast, reliable, and a joy to use.",positive
"I can't stop smiling, the hotel room is just wonderful.",positive
"Really impressed with this software, will buy again.",positive
"I hate the show, it was a complete waste of money.",negative
"the update works as described, no issues so far.",neutral
the food comes in different colors and sizes.,neutral
"this book is fine, similar to what I expected.",neutral
"Wow, this software works perfectly and looks great too.",positive
this app is the worst thing I've ever used.,negative
"I'm so happy with the delivery, best decision ever.",positive
"the show is buggy, slow, and frustrating to use.",negative
the course costs about the same as similar alternatives.,neutral
"I regret purchasing this book, total waste of time.",negative
"I hate this game, it was a complete waste of money.",negative
"my order is okay, nothing special but does the job.",neutral
"the laptop is just an ordinary product, nothing stands out.",neutral
"Wow, the product works perfectly and looks great too.",positive
"I'm so happy with the course, best decision ever.",positive
"this app is fine, similar to what I expected.",neutral
"I used this software for a week, it's been fairly normal.",neutral
Not sure how I feel about the flight yet.,neutral
"the food has both good and bad points, hard to say.",neutral
this game comes in different colors and sizes.,neutral
the flight is the worst thing I've ever used.,negative
"this software is awful, customer service ignored my complaints.",negative
"this app works as described, no issues so far.",neutral
"Worst experience ever, the new phone did not work at all.",negative
Loved it!,positive
"I hate the product, it was a complete waste of money.",negative
"the show is fast, reliable, and a joy to use.",positive
"I can't stop smiling, this movie is just wonderful.",positive
"this software was a pleasant surprise, loved every bit of it.",positive
the show is the worst thing I've ever used.,negative
"I'm so happy with this game, best decision ever.",positive
"this movie arrived on time, packaging was standard.",neutral
"the new phone is okay, nothing special but does the job.",neutral
"the course made my day, truly fantastic experience.",positive
"this software is buggy, slow, and frustrating to use.",negative
"the food is excellent, five stars without a doubt.",positive
my order costs about the same as similar alternatives.,neutral
"Really impressed with this app, will buy again.",positive
"I received this album today, will update my review later.",neutral
"the course is excellent, five stars without a doubt.",positive
"I'm so disappointed with this software, never buying again.",negative
"I used the course for a week, it's been fairly normal.",neutral
"the new phone is buggy, slow, and frustrating to use.",negative
the service arrived broken and nobody responded to my emails.,negative
"the hotel room arrived on time, packaging was standard.",neutral
"the customer support is excellent, five stars without a doubt.",positive
"Worst experience ever, this movie did not work at all.",negative
"Thank you so much, the service is exactly what I needed.",positive
"Thank you so much, this movie is exactly what I needed.",positive
